CPD文件解析
2189730725,,王儥嘤,,68024030834077209X,
5895001796,,白竢萧,006392570881,127040171793218564,
5895001797,,曹玖擎,115021386169,272690475693464494,
3991521163,,陈殀,,101825125902143504,
5203081696,,池嵁賖,,388566027344862309,
5203081697,,池眯撞,,207820821945316978,
2189751380,,房鈵,,02540366444565342X,
2180024766,,高軃圮,006518528163,82890744118625341X,
2189750910,,侯豖棻,001296464306,540570550410879637,
2189552518,,李黣,005912064818,588020691912343294,
5200552609,,孟竃慵,001299052868,629822081384564680,
3995204335,,宋瀊,,527145763635081453,
2189772466,,陶讘蜯,050013782979,689008420086996936,
3992448167,,田倜,,391445205699118199,
5202793453,,王玚,,974117735744223407,
2160458783,,,002329128985,057915027942293956,
2186952465,,徐肑箄,052092762916,540522624872644449,
